Date,AI_Portfolio,Traditional_Portfolio,SPY,Post_ChatGPT
2020-01-03,-0.012433098044213794,-0.008970487011855599,-0.007572238524382824,0
2020-01-06,0.007741501768212866,0.0007700454486955591,0.0038151109840580677,0
2020-01-07,-0.0005191397485974821,-0.007035961554786252,-0.00281181670847086,0
2020-01-08,0.0023134607260742643,-0.0007906238545300851,0.005329588711002531,0
2020-01-09,0.010681099096201444,0.008959570056663146,0.006780566404088972,0
2020-01-10,-0.0055404140932361345,-0.0041788819033482345,-0.00287771063903397,0
2020-01-13,0.014561808142784738,0.0060186456472553496,0.006877676259549714,0
2020-01-14,-0.005488193025546151,0.0012408245460571548,-0.0015248455120207005,0
2020-01-15,0.0009697407519348814,0.00028460244180596633,0.0022600138776538437,0
2020-01-16,0.013408643243712307,0.0027384663937466782,0.008318195235520909,0
2020-01-17,0.009648525815909137,0.0010646404350372525,0.0031126373074683578,0
2020-01-21,-0.0017078091837486875,-0.002746099017409409,-0.0019582618409149655,0
2020-01-22,0.004641186153029109,1.321850074940493e-05,0.00012045178592190453,0
2020-01-23,0.006240475015738915,-0.0014394935532341946,0.0011473288573666807,0
2020-01-24,-0.008822828557690362,-0.007801521331441315,-0.00889328610354334,0
2020-01-27,-0.027198679656070646,-0.002563437110570906,-0.01602981101791645,0
2020-01-28,0.022409023815766742,0.003790937868872172,0.010479693110701849,0
2020-01-29,-0.004539085632074336,-0.002778335898833769,-0.0008262400266096925,0
2020-01-30,-0.0023817367404110334,0.011216555964095024,0.0032454284322351867,0
2020-01-31,-0.0287320041799299,-0.018899976936767038,-0.01815781744613898,0
2020-02-03,0.018144931074810078,-0.00015332731759909457,0.007428690703513263,0
2020-02-04,0.019066085387770864,0.0048315955345600665,0.015241025784738405,0
2020-02-05,0.0069468224224985735,0.01691166752475241,0.011548215970869524,0
2020-02-06,0.00928490324556236,-0.0026150850322109545,0.0033646685523578412,0
2020-02-07,-0.0009229580626011572,-0.004041323626916708,-0.005329541268699223,0
2020-02-10,0.023735443730824368,-0.001122281216030363,0.007464967097690733,0
2020-02-11,0.00299125840424073,-0.000842854585620112,0.001733452601949903,0
2020-02-12,0.009596908204293597,0.0002440078385482584,0.0064428071008633125,0
2020-02-13,0.0009330072030784472,0.002714332248008433,-0.0010671745980973535,0
2020-02-14,0.013784291728854167,0.0019339136768489196,0.0016022243296358596,0
2020-02-18,0.009563831583591809,-0.005807550211841521,-0.002577045275598322,0
2020-02-19,0.01958512610953504,0.0020459072614230447,0.004781433432368809,0
2020-02-20,-0.016831702834539147,-0.000574115473471748,-0.004108450215317139,0
2020-02-21,-0.034435213712914116,0.00024591043610239227,-0.010298136553627657,0
2020-02-24,-0.05368946474392655,-0.02747254702797673,-0.033165352611812304,0
2020-02-25,-0.027173592830376386,-0.022919015830439076,-0.030302327265051554,0
